MSN,YYYYMM,Value,Column_Order,Description,Unit
TXRCBUS,198008,288.127,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198009,312.789,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198010,439.423,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198011,637.694,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198012,953.685,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198013,7439.405,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198101,1174.827,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198102,991.369,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198103,787.885,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198104,537.055,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198105,429.705,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198106,328.956,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198107,293.769,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198108,286.7,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198109,298.618,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198110,456.553,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198111,593.227,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198112,865.253,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198113,7045.285,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198201,1145.192,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198202,1010.225,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198203,843.13,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198204,681.212,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198205,426.786,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198206,332.526,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198207,297.513,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198208,288.456,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198209,335.39,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198210,410.105,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
