MSN,YYYYMM,Value,Column_Order,Description,Unit
XPTCBUS,197413,18.776221,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197513,19.284347,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197613,20.451617,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197713,20.906836,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197813,21.987184,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197913,23.070493,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198013,23.626689,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198113,24.426261,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198213,24.510737,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198313,25.697514,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198413,27.184852,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198513,27.76417,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198613,27.857381,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198713,28.550923,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198813,30.037985,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,198913,30.975009,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199013,31.330327,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199113,31.558972,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199213,31.544388,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199313,32.450172,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199413,32.802723,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199513,33.919563,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199613,35.262221,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199713,35.220588,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199813,35.371771,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,199913,35.905033,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200013,36.728791,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200113,35.210096,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200213,35.910914,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200313,36.301301,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200413,36.945952,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200513,37.32802,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200613,37.434649,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200713,37.880633,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200813,38.169185,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,200913,35.776979,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,201013,37.432102,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,201113,37.138927,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,201213,34.354159,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,201313,35.610867,"2","Other Energy Consumption","Quadrillion Btu"
TETCBUS,194913,31.981503,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195013,34.615768,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195113,36.97403,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195213,36.747825,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195313,37.664468,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195413,36.639382,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195513,40.207971,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195613,41.754252,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195713,41.787186,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195813,41.645028,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,195913,43.465722,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196013,45.086455,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196113,45.737837,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196213,47.826437,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196313,49.644195,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196413,51.814788,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196513,54.015001,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196613,57.014332,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196713,58.904521,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196813,62.414507,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,196913,65.61402,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197013,67.838325,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197113,69.282843,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197213,72.687867,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197313,75.68369,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197413,73.962369,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197513,71.964553,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197613,75.974826,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197713,77.96133,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197813,79.950406,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,197913,80.858584,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198013,78.066668,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198113,76.105776,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198213,73.099185,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198313,72.970566,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198413,76.631701,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198513,76.392385,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198613,76.647005,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198713,79.054456,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198813,82.709172,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,198913,84.785998,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199013,84.485118,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199113,84.437962,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199213,85.782977,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199313,87.42362,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199413,89.091331,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199513,91.029071,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199613,94.022218,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199713,94.602201,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199813,95.017912,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,199913,96.651965,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200013,98.814473,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200113,96.168164,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200213,97.645141,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200313,97.943386,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200413,100.160793,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200513,100.281501,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200613,99.628737,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200713,101.317356,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200813,99.292055,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,200913,94.596186,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,201013,98.016397,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,201113,97.461408,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,201213,95.015041,"3","Total Energy Consumption","Quadrillion Btu"
TETCBUS,201313,97.337404,"3","Total Energy Consumption","Quadrillion Btu"
GDPRXUS,194913,2007,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195013,2181.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195113,2357.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195213,2453.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195313,2568.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195413,2554.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195513,2736.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195613,2794.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195713,2853.5,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195813,2832.6,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,195913,3028.1,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196013,3105.8,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196113,3185.1,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196213,3379.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196313,3527.1,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196413,3730.5,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196513,3972.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196613,4234.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196713,4351.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
